ProIndex,City,2021GDP,2020GDP,NominalGrowth,NominalIncremental,ActualGrowth,Population,PerGDP,PerGDPDollar,ProPerIndex,Province
1,合肥市,11412.8,10045.7,13.60%,1367.1,9.20%,937,121801,18884,1,安徽
2,芜湖市,4302.6,3753,14.60%,549.6,11.60%,365,117879,18276,2,安徽
6,马鞍山市,2439.3,2186.9,11.50%,252.4,9.10%,216,112931,17509,3,安徽
14,铜陵市,1165.6,1003.7,16.10%,161.9,7.20%,131,88977,13795,4,安徽
3,滁州市,3362.1,3032.1,10.90%,330,9.90%,399,84263,13064,5,安徽
15,池州市,1004.2,868.9,15.60%,135.3,10.20%,134,74940,11619,6,安徽
11,宣城市,1833.9,1607.5,14.10%,226.4,10.10%,250,73356,11373,7,安徽
16,黄山市,957.4,850.4,12.60%,107,9.10%,133,71985,11160,8,安徽
5,安庆市,2656.9,2467.7,7.70%,189.2,6.60%,417,63715,9878,9,安徽
13,淮北市,1223,1119.1,9.30%,103.9,3.40%,197,62081,9625,10,安徽
8,蚌埠市,1989,2082.7,-4.50%,-93.7,-2.10%,330,60273,9345,11,安徽
12,淮南市,1457.1,1337.2,9.00%,119.9,5.70%,303,48089,7456,12,安徽
10,六安市,1923.5,1669.5,15.20%,254,11.00%,440,43716,6778,13,安徽
7,宿州市,2167.7,2045,6.00%,122.7,8.50%,533,40670,6305,14,安徽
9,亳州市,1972.7,1806,9.20%,166.7,8.60%,500,39454,6117,15,安徽
4,阜阳市,3071.5,2805.2,9.50%,266.3,9.00%,820,37457,5807,16,安徽
,北京市,40269.6,36102.6,11.54%,4167,8.50%,2189,183937.5,,,北京
1,福州市,11324.5,10020,13.00%,1304.5,8.40%,832,136112,21103,1,福建
3,厦门市,7033.9,6384,10.20%,649.9,8.10%,518,135790,21053,2,福建
2,泉州市,11304.2,10158.7,11.30%,1145.5,8.10%,879,128603,19938,3,福建
7,三明市,2953.5,2702.2,9.30%,251.3,5.80%,249,118614,18390,4,福建
6,龙岩市,3081.8,2870.9,7.30%,210.9,7.70%,273,112886,17502,5,福建
5,宁德市,3151.1,2619,20.30%,532.1,13.30%,315,100035,15509,6,福建
4,漳州市,5025.4,4545.6,10.60%,479.8,7.70%,506,99316,15398,7,福建
8,莆田市,2883,2644,9.00%,239,6.40%,321,89813,13925,8,福建
9,南平市,2117.6,2007.4,5.50%,110.2,6.50%,268,79015,12250,9,福建
13,嘉峪关市,326.5,281.6,15.90%,44.9,5.10%,31,105323,16329,1,甘肃
11,金昌市,428.6,358.6,19.50%,70,8.00%,44,97409,15102,2,甘肃
1,兰州市,3231.3,2886.7,11.90%,344.6,6.10%,437,73943,11464,3,甘肃
4,酒泉市,762.7,657.7,16.00%,105,8.90%,106,71953,11155,4,甘肃
8,张掖市,526.2,467.1,12.70%,59.1,7.00%,113,46566,7220,5,甘肃
5,武威市,600.2,526.4,14.00%,73.8,8.10%,146,41110,6374,6,甘肃
2,庆阳市,885.3,754.7,17.30%,130.6,5.20%,218,40610,6296,7,甘肃
6,白银市,571,497.3,14.80%,73.7,8.40%,151,37815,5863,8,甘肃
14,甘南州,230,219.1,5.00%,10.9,4.80%,69,33333,5168,9,甘肃
7,平凉市,554,476.2,16.30%,77.8,7.80%,184,30109,4668,10,甘肃
3,天水市,750.3,666.9,12.50%,83.4,7.30%,298,25178,3904,11,甘肃
9,陇南市,502.5,451.8,11.20%,50.7,7.00%,240,20938,3246,12,甘肃
10,定西市,500.8,441.4,13.50%,59.4,8.30%,252,19873,3081,13,甘肃
12,临夏州,373.8,331.3,12.80%,42.5,8.10%,211,17716,2747,14,甘肃
1,深圳市,30664.9,27670.2,10.80%,2994.7,6.70%,1763,173936,26967,1,广东
6,珠海市,3881.8,3481.9,11.50%,399.9,6.90%,245,158441,24564,2,广东
2,广州市,28232,25019.1,12.80%,3212.9,8.10%,1874,150651,23357,3,广东
3,佛山市,12156.5,10816.5,12.40%,1340,8.30%,952,127694,19798,4,广东
4,东莞市,10855.4,9650.2,12.50%,1205.2,8.20%,1048,103582,16059,5,广东
5,惠州市,4977.4,4221.8,17.90%,755.6,10.10%,606,82135,12734,6,广东
9,中山市,3566.2,3151.6,13.20%,414.6,8.20%,443,80501,12481,7,广东
8,江门市,3601.3,3201,12.50%,400.3,8.40%,480,75027,11632,8,广东
12,肇庆市,2650,2311.7,14.60%,338.3,10.50%,412,64320,9972,9,广东
7,茂名市,3698.1,3279.3,12.80%,418.8,7.60%,618,59840,9277,10,广东
16,阳江市,1515.9,1360.4,11.40%,155.5,8.30%,261,58080,9005,11,广东
15,韶关市,1553.9,1353.5,14.80%,200.4,8.60%,286,54332,8424,12,广东
11,汕头市,2929.9,2730.6,7.30%,199.3,6.10%,550,53271,8259,13,广东
10,湛江市,3559.9,3100.2,14.80%,459.7,8.50%,698,51001,7907,14,广东
14,清远市,2007.5,1777.2,13.00%,230.3,8.10%,397,50567,7840,15,广东
20,湖州市,1244.9,1097,13.50%,147.9,9.30%,257,48440,7510,16,广东
18,汕尾市,1288,1123.8,14.60%,164.2,12.70%,267,48240,7479,17,广东
21,云浮市,1139,1002.2,13.60%,136.8,8.10%,238,47857,7420,18,广东
19,河源市,1274,1102.7,15.50%,171.3,8.00%,284,44859,6955,19,广东
13,揭阳市,2265.4,2102.1,7.80%,163.3,6.10%,558,40599,6294,20,广东
17,梅州市,1308,1208,8.30%,100,5.50%,387,33798,5240,21,广东
7,北海市,1504.4,1276.9,17.80%,227.5,8.80%,186,80882,12540,1,广西
14,防城港市,815.9,732.8,11.30%,83.1,9.40%,105,77705,12047,2,广西
2,柳州市,3057.2,3176.9,-3.80%,-119.7,2.00%,416,73490,11394,3,广西
1,南宁市,5120.9,4726.3,8.30%,394.6,6.10%,875,58525,9074,4,广西
5,钦州市,1647.8,1388,18.70%,259.8,10.00%,331,49782,7718,5,广西
9,梧州市,1369.4,1081.3,26.60%,288.1,10.00%,282,48560,7529,6,广西
11,崇左市,989.1,809,22.30%,180.1,9.80%,209,47325,7337,7,广西
3,桂林市,2311.1,2130.4,8.50%,180.7,6.60%,494,46783,7253,8,广西
12,贺州市,909.2,754,20.60%,155.2,13.90%,201,45234,7013,9,广西
6,百色市,1568.7,1333.7,17.60%,235,9.80%,358,43818,6794,10,广西
13,来宾市,832.9,705.7,18.00%,127.2,10.50%,208,40043,6208,11,广西
4,玉林市,2070.6,1761.1,17.60%,309.5,9.90%,580,35700,5535,12,广西
8,贵港市,1501.6,1352.7,11.00%,148.9,6.50%,432,34759,5389,13,广西
10,河池市,1042,927.7,12.30%,114.3,7.50%,342,30468,4724,14,广西
1,贵阳市,4711,4311.7,9.30%,399.3,6.60%,599,78648,12193,1,贵州
2,遵义市,4169.9,3720.1,12.10%,449.8,10.30%,661,63085,9781,2,贵州
4,黔南州,1747.4,1595.4,9.50%,152,8.30%,350,49926,7740,3,贵州
5,黔西南州,1506.4,1353.4,11.30%,153,9.30%,302,49881,7733,4,贵州
6,六盘水市,1473.7,1339.6,10.00%,134.1,8.20%,303,48637,7541,5,贵州
7,铜仁市,1462.7,1327.8,10.20%,134.9,8.60%,330,44324,6872,6,贵州
9,安顺市,1078.9,966.7,11.60%,112.2,9.00%,247,43680,6772,7,贵州
8,黔东南朴,1255,1191.5,5.30%,63.5,5.20%,376,33378,5175,8,贵州
3,毕节市,2181.5,2020.4,8.00%,161.1,6.80%,690,31616,4902,9,贵州
1,唐山市,8230.6,7210.9,14.10%,1019.7,6.70%,772,106614,16529,1,河北
6,廊坊市,3553.1,3301.1,7.60%,252,6.60%,546,65075,10089,2,河北
8,秦皇岛市,1843.8,1685.8,9.40%,158,6.80%,314,58720,9104,3,河北
2,石家庄市,6490.3,5935.1,9.40%,555.2,6.60%,1124,57743,8952,4,河北
3,沧州市,4163.4,3699.9,12.50%,463.5,7.00%,730,57033,8842,5,河北
11,承德市,1697,1550.3,9.50%,146.7,6.10%,335,50657,7854,6,河北
4,邯郸市,4114.8,3636.6,13.10%,478.2,6.90%,941,43728,6780,7,河北
9,张家口市,1727.8,1600.1,8.00%,127.7,6.30%,412,41937,6502,8,河北
10,衡水市,1703.1,1560.2,9.20%,142.9,6.80%,421,40454,6272,9,河北
5,保定市,4088.7,3695.3,10.60%,393.4,7.20%,1034,39543,6131,10,河北
7,邢台市,2427.1,2200.4,10.30%,226.7,6.20%,711,34136,5292,11,河北
18,济源县级市,762.2,703.2,8.40%,59,6.10%,73,104411,16188,1,河南
1,郑州市,12691,12003,5.70%,688,4.70%,1262,100563,15591,2,河南
4,许昌市,3655.4,3449.2,6.00%,206.2,5.50%,438,83457,12939,3,河南
16,三门峡市,1582.5,1450.7,9.10%,131.8,7.50%,204,77574,12027,4,河南
2,洛阳市,5447.1,5128.4,6.20%,318.7,4.80%,706,77154,11962,5,河南
15,漯河市,1721.1,1573.9,9.40%,147.2,9.10%,237,72620,11259,6,河南
17,鹤壁市,1064.6,981,8.50%,83.6,6.70%,157,67809,10513,7,河南
13,焦作市,2136.8,2123.6,0.60%,13.2,4.40%,352,60705,9412,8,河南
10,平顶山市,2694.2,2455.8,9.70%,238.4,7.10%,499,53992,8371,9,河南
11,开封市,2557,2371.8,7.80%,185.2,7.20%,483,52940,8208,10,河南
6,新乡市,3232.5,3014.5,7.20%,218,6.60%,626,51637,8006,11,河南
9,信阳市,3065,2805.7,9.20%,259.3,6.50%,624,49119,7615,12,河南
14,濮阳市,1771.5,1650,7.40%,121.5,8.40%,377,46989,7285,13,河南
3,南阳市,4342.2,3925.9,10.60%,416.3,9.00%,972,44673,6926,14,河南
12,安阳市,2435.5,2300.5,5.90%,135,5.00%,548,44443,6890,15,河南
8,驻马店市,3082.8,2859.3,7.80%,223.5,7.20%,701,43977,6818,16,河南
7,商丘市,3083.3,2925.3,5.40%,158,4.00%,782,39428,6113,17,河南
5,周口市,3496.2,3267.2,7.00%,229,6.30%,902,38761,6009,18,河南
2,大庆市,2620,2301.1,13.90%,318.9,6.20%,278,94245,14612,1,黑龙江
1,哈尔滨市,5351.7,5183.8,3.20%,167.9,5.50%,1000,53517,8297,2,黑龙江
7,黑河市,637.1,614.4,3.70%,22.7,6.20%,128,49773,7717,3,黑龙江
13,大兴安岭地区,153.1,141.9,7.90%,11.2,6.30%,33,46394,7193,4,黑龙江
9,双鸭山市,516,493.9,4.50%,22.1,6.30%,120,43000,6667,5,黑龙江
8,鸡西市,603.7,572.4,5.50%,31.3,7.10%,149,40517,6282,6,黑龙江
10,鹤岗市,354.2,340.2,4.10%,14,7.00%,89,39798,6170,7,黑龙江
5,牡丹江市,875,831.7,5.20%,43.3,6.10%,228,38377,5950,8,黑龙江
6,佳木斯市,816.2,811.8,0.50%,4.4,7.50%,215,37963,5886,9,黑龙江
11,伊春市,318.7,295.2,8.00%,23.5,7.30%,87,36632,5679,10,黑龙江
12,七台河市,231.4,206.4,12.10%,25,5.20%,69,33536,5199,11,黑龙江
4,绥化市,1177.7,1150.2,2.40%,27.5,6.30%,372,31659,4908,12,黑龙江
3,齐齐哈尔市,1224.5,1200.4,2.00%,24.1,6.60%,404,30309,4699,13,黑龙江
1,武汉市,17716.8,15616,13.45%,2100.7,12.20%,1365,143729,,1,湖北
3,宜昌市,5022.7,4261.4,17.86%,761.3,16.80%,402,125017,,2,湖北
13,鄂州市,1162.3,1005.2,19.38%,157.1,12.90%,107,107685,,3,湖北
2,襄阳市,5309.4,4602,15.37%,707.5,14.70%,527,100921,,4,湖北
15,潜江市,852.7,765.2,11.44%,87.5,12.30%,89,95809,,5,湖北
8,荆门市,2120.9,1906.4,11.25%,214.5,10.80%,260,81673,,6,湖北
9,黄石市,1910,1641.3,16.37%,268.7,14%,247,77328,,7,湖北
7,十堰市,2164,1915.1,13.00%,248.9,11.50%,316,67435,,8,湖北
10,咸宁市,1751.8,1524.7,14.90%,227.2,12.80%,261,67119,,9,湖北
16,天门市,718.9,617.5,16.42%,101.4,12.10%,116,61974,,10,湖北
12,随州市,1241.5,1080.3,14.92%,161.2,12%,202,60620,,11,湖北
5,孝感市,2562,2193.6,16.80%,368.5,13.40%,427,59995,,12,湖北
4,荆州市,2715.5,2369,14.63%,346.5,12%,514,51910,,13,湖北
17,神农架,35.2,30.7,14.78%,4.5,10.10%,7,50286,,14,湖北
6,黄冈市,2541.3,2169.6,17.14%,371.8,13.80%,579,43200,,15,湖北
11,恩施州,1302.4,1117.7,16.52%,184.7,11.70%,346,37683,,16,湖北
14,仙桃市,929.9,827.9,12.32%,102,6.30%,114,81570,,17,湖北
1,长沙市,13270.7,12142.5,9.30%,1128.2,7.50%,1006,131916,20452,1,湖南
2,湘潭市,2548.4,2343.1,8.80%,205.3,7.80%,273,93348,14473,2,湖南
3,株洲市,3420.3,3105.8,10.10%,314.5,8.30%,390,87700,13597,3,湖南
4,岳阳市,4403,4001.6,10.00%,401.4,8.10%,505,87188,13518,4,湖南
5,常德市,4054.1,3749.1,8.10%,305,7.70%,528,76782,11904,5,湖南
6,郴州市,2770.1,2503.1,10.70%,267,8.80%,468,59190,9177,6,湖南
7,衡阳市,3840.3,3508.5,9.50%,331.8,8.10%,664,57836,8967,7,湖南
8,益阳市,2019.3,1853.5,8.90%,165.8,8.30%,385,52449,8132,8,湖南
9,娄底市,1825.8,1679.9,8.70%,145.9,7.70%,383,47671,7391,9,湖南
10,永州市,2261.1,2107.7,7.30%,153.4,7.50%,530,42662,6614,10,湖南
11,怀化市,1817.8,1671.9,8.70%,145.9,8.40%,458,39690,6153,11,湖南
12,张家界市,580.3,556.7,4.20%,23.6,4.50%,152,38178,5919,12,湖南
13,邵阳市,2461.5,2250.8,9.40%,210.7,8.50%,656,37523,5817,13,湖南
14,湘西州,792.1,725.1,9.20%,67,8.70%,248,31940,4952,14,湖南
1,长春市,7103.1,6638,7.00%,465.1,6.20%,907,78314,12142,1,吉林
8,白山市,541.4,509.4,6.30%,32,6.40%,95,56989,8836,2,吉林
9,辽源市,463.5,429.9,7.80%,33.6,7.60%,100,46350,7186,3,吉林
5,通化市,567.9,531.7,6.81%,36.2,6.80%,181,43591,,4,吉林
2,吉林市,1550,1452.6,6.70%,97.4,7.00%,362,42818,6638,5,吉林
4,延边州,801.2,726.9,10.20%,74.3,6.80%,194,41299,6403,6,吉林
3,松原市,817.7,752.9,8.60%,64.8,7.60%,225,36342,5634,7,吉林
7,白城市,548.8,510.2,7.60%,38.6,7.80%,155,35406,5489,8,吉林
6,四平市,554,526.6,5.20%,27.4,7.90%,181,30608,4745,9,吉林
