Province,肉类总产量,#猪牛羊肉,猪肉,牛肉,羊肉,禽肉
Unit,万吨,万吨,万吨,万吨,万吨,万吨
Remark,7-39 2020年各地区肉类总产量
全国,7748.4,5278.1,4113.3,672.4,492.3,2361.1
北京,3.5,2.1,1.4,0.4,0.2,1.4
天津,29.6,18.9,15.4,2.7,0.9,10.6
河北,419.2,313.8,226.9,55.6,31.3,102.0
山西,102.7,78.7,62.8,7.4,8.6,22.9
内蒙古,268.0,240.6,61.4,66.3,113.0,20.1
辽宁,378.2,221.4,183.5,31.0,6.9,154.6
吉林,237.4,148.9,105.0,38.7,5.2,87.1
黑龙江,253.2,205.6,143.9,48.3,13.4,46.4
上海,9.3,7.6,7.2,0.3,0.2,1.2
江苏,268.2,149.5,140.7,2.6,6.3,115.8
浙江,90.1,57.8,54.2,1.4,2.2,31.8
安徽,396.0,213.9,183.4,9.9,20.7,181.1
福建,259.4,108.5,103.8,2.5,2.3,146.6
江西,285.2,198.5,180.7,15.2,2.6,84.5
山东,728.0,364.7,271.0,59.7,34.0,357.1
河南,544.1,390.2,324.8,36.7,28.6,148.1
湖北,307.4,228.1,203.8,15.4,8.9,79.0
湖南,455.0,374.3,337.7,20.5,16.1,78.2
广东,401.0,198.6,192.4,4.2,1.9,195.3
广西,380.4,191.3,174.1,13.6,3.6,179.9
海南,58.4,24.4,20.9,2.3,1.2,33.1
重庆,161.2,123.0,108.8,7.4,6.8,35.1
四川,597.8,459.1,394.8,37.0,27.3,115.8
贵州,207.9,174.3,146.3,23.1,5.0,30.8
云南,417.4,353.3,291.6,40.9,20.8,62.8
西藏,28.3,27.8,0.9,21.2,5.7,0.2
陕西,107.1,96.1,77.7,8.7,9.7,10.3
甘肃,110.2,101.7,49.2,24.9,27.6,7.2
青海,37.0,36.3,3.7,19.2,13.3,0.4
宁夏,33.8,30.5,8.0,11.4,11.1,2.9
新疆,173.7,138.5,37.5,44.0,57.0,19.2